paper_title,paper_url,paper_arxiv_id,repo_url,is_official,framework,readmeUrl,requirementsUrl,requirementsLastCommitDate,mostProminentLanguage,stars,lastCommitDate,contributors
Efficient leave-one-out cross-validation for Bayesian non-factorized normal and Student-t models,https://paperswithcode.com/paper/efficient-leave-one-out-cross-validation-for,1810.10559,https://github.com/paul-buerkner/psis-non-factorized-paper,true,none,README not found,requirements.txt not found,None,TeX,4,2020-10-01T13:31:41Z,"https://github.com/paul-buerkner, https://github.com/jgabry, https://github.com/avehtari"
Automatic Post-Editing of Machine Translation: A Neural Programmer-Interpreter Approach,https://paperswithcode.com/paper/automatic-post-editing-of-machine-translation,,https://github.com/trangvu/ape-npi,false,tf,https://raw.githubusercontent.com/trangvu/ape-npi/master/README.md,requirements.txt not found,None,Python,4,2019-01-02T03:34:22Z,
AttnGAN: Fine-Grained Text to Image Generation with Attentional Generative Adversarial Networks,https://paperswithcode.com/paper/attngan-fine-grained-text-to-image-generation,1711.10485,https://github.com/bprabhakar/text-to-image,false,pytorch,https://raw.githubusercontent.com/bprabhakar/text-to-image/master/README.md,https://raw.githubusercontent.com/bprabhakar/text-to-image/master/requirements.txt,2018-05-30T01:01:19Z,Jupyter Notebook,17,2018-05-30T01:28:48Z,https://github.com/bprabhakar
Universal Sentence Encoder,https://paperswithcode.com/paper/universal-sentence-encoder,1803.11175,https://github.com/facebookresearch/InferSent,false,pytorch,https://raw.githubusercontent.com/facebookresearch/InferSent/main/README.md,requirements.txt not found,None,Jupyter Notebook,2280,2019-08-29T18:39:02Z,"https://github.com/aconneau, https://github.com/Tiriar, https://github.com/cdelahousse, https://github.com/facebook-github-bot, https://github.com/ozancaglayan, https://github.com/ollmer, https://github.com/TalSchuster, https://github.com/thammegowda"
KERN,https://paperswithcode.com/paper/kern,1710.09145,https://github.com/casacore/casarest,true,none,https://raw.githubusercontent.com/casacore/casarest/master/README.md,requirements.txt not found,None,C++,4,2022-05-29T23:34:46Z,"https://github.com/gervandiepen, https://github.com/tammojan, https://github.com/gijzelaerr, https://github.com/aroffringa, https://github.com/o-smirnov, https://github.com/jjdmol, https://github.com/VoronkovMA, https://github.com/Athanaseus, https://github.com/ratt-priv-ci, https://github.com/steve-ord, https://github.com/ludwigschwardt, https://github.com/cquike, https://github.com/gmloose"
Non-Local Representation based Mutual Affine-Transfer Network for Photorealistic Stylization,https://paperswithcode.com/paper/one-shot-mutual-affine-transfer-for,1907.10274,https://github.com/yingutk/NL-MAT,true,tf,https://raw.githubusercontent.com/yingutk/NL-MAT/master/README.md,requirements.txt not found,None,Python,3,2023-03-05T12:50:53Z,https://github.com/yingutk
Tunable Subnetwork Splitting for Model-parallelism of Neural Network Training,https://paperswithcode.com/paper/tunable-subnetwork-splitting-for-model,2009.04053,https://github.com/xianggebenben/TSSM,true,tf,https://raw.githubusercontent.com/xianggebenben/TSSM/master/README.md,requirements.txt not found,None,Python,2,2020-07-07T23:56:33Z,
Auto-Encoding Variational Bayes,https://paperswithcode.com/paper/auto-encoding-variational-bayes,1312.6114,https://github.com/enalisnick/stick-breaking_dgms,false,none,https://raw.githubusercontent.com/enalisnick/stick-breaking_dgms/master/README.md,requirements.txt not found,None,Python,94,2016-05-23T06:22:47Z,https://github.com/enalisnick
StackGAN++: Realistic Image Synthesis with Stacked Generative Adversarial Networks,https://paperswithcode.com/paper/stackgan-realistic-image-synthesis-with,1710.10916,https://github.com/Maymaher/StackGANv2,false,pytorch,https://raw.githubusercontent.com/Maymaher/StackGANv2/master/README.md,https://raw.githubusercontent.com/Maymaher/StackGANv2/master/requirements.txt,2019-03-05T14:42:32Z,Python,0,2019-03-05T14:42:32Z,"https://github.com/hanzhanggit, https://github.com/Maymaher"
Towards K-means-friendly Spaces: Simultaneous Deep Learning and Clustering,https://paperswithcode.com/paper/towards-k-means-friendly-spaces-simultaneous,1610.04794,https://github.com/boyangumn/DCN,true,none,https://raw.githubusercontent.com/boyangumn/DCN/master/README.txt,requirements.txt not found,None,Python,91,2018-04-11T15:25:27Z,https://github.com/boyangumn
SimulaQron - A simulator for developing quantum internet software,https://paperswithcode.com/paper/simulaqron-a-simulator-for-developing-quantum,1712.08032,https://github.com/quantumprotocolzoo/protocols,false,none,https://raw.githubusercontent.com/quantumprotocolzoo/protocols/master/README.md,requirements.txt not found,None,Python,22,2022-04-24T16:19:20Z,"https://github.com/apassenger, https://github.com/h-oll, https://github.com/AMarin-git, https://github.com/LeonWubben, https://github.com/kapmarc, https://github.com/nashmathur, https://github.com/rheaparekh, https://github.com/chirag-w"
RecipeNLG: A Cooking Recipes Dataset for Semi-Structured Text Generation,https://paperswithcode.com/paper/recipenlg-a-cooking-recipes-dataset-for-semi,,https://github.com/Glorf/recipenlg,false,pytorch,https://raw.githubusercontent.com/Glorf/recipenlg/main/README.md,https://raw.githubusercontent.com/Glorf/recipenlg/main/requirements.txt,2020-12-04T10:00:30Z,Jupyter Notebook,586,2022-03-07T17:46:16Z,"https://github.com/Glorf, https://github.com/pcmill, https://github.com/dwisniewski"
Online Deep Learning: Learning Deep Neural Networks on the Fly,https://paperswithcode.com/paper/online-deep-learning-learning-deep-neural,1711.03705,https://github.com/LIBOL/ODL,false,pytorch,https://raw.githubusercontent.com/LIBOL/ODL/master/README.md,requirements.txt not found,None,Python,79,2019-06-20T08:38:10Z,"https://github.com/phquang, https://github.com/doyensahoo"
"Model Rubik's Cube: Twisting Resolution, Depth and Width for TinyNets",https://paperswithcode.com/paper/model-rubik-s-cube-twisting-resolution-depth,2010.14819,https://github.com/leondgarse/keras_cv_attention_models/tree/main/keras_cv_attention_models/mobilenetv3_family,false,tf,https://raw.githubusercontent.com/leondgarse/keras_cv_attention_models/main/README.md,requirements.txt not found,None,Python,588,2024-07-12T05:25:17Z,"https://github.com/leondgarse, https://github.com/awsaf49, https://github.com/dcleres, https://github.com/AminHP, https://github.com/gjp4tw"
ArcticNet: A Deep Learning Solution to Classify Arctic Wetlands,https://paperswithcode.com/paper/190600133,1906.00133,https://github.com/geekJZY/arcticnet,true,pytorch,https://raw.githubusercontent.com/geekJZY/arcticnet/master/README.md,requirements.txt not found,None,Python,9,2022-08-19T16:47:18Z,
Multi-Label Image Classification via Knowledge Distillation from Weakly-Supervised Detection,https://paperswithcode.com/paper/multi-label-image-classification-via,1809.05884,https://github.com/Yochengliu/MLIC-KD-WSD,false,none,https://raw.githubusercontent.com/Yochengliu/MLIC-KD-WSD/master/README.md,requirements.txt not found,None,C++,58,2019-04-16T03:00:22Z,https://github.com/Yochengliu
Few-Shot Learning with Graph Neural Networks,https://paperswithcode.com/paper/few-shot-learning-with-graph-neural-networks,1711.04043,https://github.com/HoganZhang/few-shot-gnn,false,pytorch,https://raw.githubusercontent.com/HoganZhang/few-shot-gnn/master/README.md,requirements.txt not found,None,Python,3,2018-05-13T19:37:55Z,https://github.com/vgsatorras
Generative Adversarial Networks,https://paperswithcode.com/paper/generative-adversarial-networks,1406.2661,https://github.com/syahdeini/gan,false,tf,https://raw.githubusercontent.com/syahdeini/gan/master/README.md,requirements.txt not found,None,Jupyter Notebook,3,2018-07-04T11:49:22Z,https://github.com/syahdeini
Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm,https://paperswithcode.com/paper/mastering-chess-and-shogi-by-self-play-with-a,1712.01815,https://github.com/Neo-The1/ThinkingTicTacToe,false,tf,https://raw.githubusercontent.com/Neo-The1/ThinkingTicTacToe/master/README.md,requirements.txt not found,None,Python,0,2019-01-05T19:55:31Z,"https://github.com/Neo-The1, https://github.com/anil100391, https://github.com/darknessliveson"
